JHashMap; JLinkedMap; SHashMap; SLinkedMap
827.0; 824.0; 816.0; 799.0
824.0; 817.0; 805.0; 805.0
832.0; 822.0; 826.0; 788.0
837.0; 816.0; 830.0; 787.0
858.0; 823.0; 808.0; 808.0
845.0; 816.0; 809.0; 809.0
831.0; 834.0; 801.0; 812.0
847.0; 827.0; 814.0; 812.0
834.0; 815.0; 777.0; 810.0
827.0; 821.0; 757.0; 811.0
824.0; 828.0; 769.0; 813.0
834.0; 827.0; 779.0; 804.0
851.0; 831.0; 774.0; 798.0
835.0; 816.0; 763.0; 806.0
845.0; 819.0; 762.0; 792.0
835.0; 848.0; 773.0; 808.0
832.0; 841.0; 769.0; 807.0
859.0; 833.0; 750.0; 802.0
835.0; 828.0; 766.0; 810.0
843.0; 828.0; 781.0; 807.0
844.0; 809.0; 777.0; 806.0
836.0; 812.0; 775.0; 813.0
823.0; 840.0; 781.0; 809.0
842.0; 824.0; 786.0; 809.0
838.0; 836.0; 772.0; 797.0
678.0; 828.0; 780.0; 794.0
688.0; 812.0; 780.0; 809.0
759.0; 816.0; 774.0; 808.0
747.0; 816.0; 781.0; 817.0
677.0; 823.0; 767.0; 805.0
