JHashMap; JLinkedMap; SHashMap; SLinkedMap
7969.0; 6138.0; 7440.0; 1923.0
7959.0; 6145.0; 7438.0; 1929.0
7957.0; 6114.0; 7411.0; 1964.0
7957.0; 6133.0; 7448.0; 1975.0
7937.0; 6132.0; 7443.0; 1998.0
7975.0; 6129.0; 7448.0; 1978.0
7990.0; 6138.0; 7410.0; 1977.0
7946.0; 6131.0; 7404.0; 2014.0
7981.0; 6141.0; 7429.0; 1938.0
7975.0; 6118.0; 7414.0; 1958.0
7966.0; 6126.0; 7428.0; 1920.0
7966.0; 6144.0; 7418.0; 1977.0
7978.0; 6137.0; 7425.0; 1968.0
7982.0; 6133.0; 7418.0; 1977.0
7976.0; 6138.0; 7421.0; 1999.0
7981.0; 6123.0; 7399.0; 1966.0
7978.0; 6106.0; 7424.0; 1931.0
7983.0; 6134.0; 7400.0; 1955.0
7973.0; 6139.0; 7428.0; 1966.0
7967.0; 6155.0; 7423.0; 1968.0
7977.0; 6126.0; 7427.0; 1944.0
7988.0; 6132.0; 7420.0; 2006.0
7978.0; 6153.0; 7422.0; 2000.0
7965.0; 6125.0; 7436.0; 1986.0
7965.0; 6148.0; 7389.0; 1950.0
7996.0; 6149.0; 7407.0; 1966.0
7957.0; 6148.0; 7412.0; 1945.0
7961.0; 6139.0; 7414.0; 1973.0
7977.0; 6156.0; 7404.0; 1988.0
7966.0; 6147.0; 7424.0; 1993.0
