JHashMap; JLinkedMap; SHashMap; SLinkedMap
12927; 19858; 11255; 23943
12894; 20462; 11443; 23941
12861; 20452; 11419; 23950
13140; 20450; 11432; 23934
13116; 20432; 11468; 23931
13133; 20453; 11432; 23591
13118; 20144; 11437; 23880
13157; 20142; 11425; 23926
13134; 20143; 11426; 23938
13144; 20132; 11427; 23911
13127; 20063; 11447; 23932
13161; 20148; 11447; 23939
13108; 20136; 11435; 23932
13105; 20141; 11454; 23949
13140; 20143; 11429; 23918
13092; 20115; 11445; 23946
13083; 20134; 11448; 23932
13082; 20137; 11421; 23924
13134; 20131; 11436; 23953
13124; 20126; 11429; 23938
13094; 20138; 11432; 23931
13149; 20128; 11438; 23938
13128; 20001; 11441; 23939
13101; 19637; 11465; 23935
13137; 20146; 11435; 23949
13122; 20143; 11452; 23937
13129; 20120; 11369; 23926
13146; 20133; 11458; 23923
13124; 20129; 11412; 23949
13105; 20121; 11431; 23952
