JArraySequence; JVectorSequence; SArraySequence
7912; 4051; 3272
7934; 4060; 3275
7926; 4050; 3254
7926; 4054; 3022
7692; 4053; 2972
7929; 4055; 3177
7921; 4057; 3263
7918; 4055; 3279
7924; 4052; 3277
7921; 4056; 3274
7922; 4058; 3276
7963; 4057; 3282
7920; 4040; 3282
7911; 4051; 3283
7912; 4054; 3280
7922; 4055; 3282
7924; 4058; 3264
7918; 4056; 3276
7912; 4050; 3256
7917; 4053; 3279
7922; 4054; 3283
7946; 4050; 3277
7927; 4050; 3280
7922; 4058; 3285
7927; 4052; 3284
7922; 4054; 3277
7919; 4059; 3285
7917; 4055; 3275
7923; 4052; 3278
7913; 4054; 3282
