JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
98504.0; 126296.0; 89352.0; 97288.0; 166448.0
98504.0; 126296.0; 89352.0; 97288.0; 166448.0
98504.0; 126296.0; 89352.0; 97288.0; 166448.0
98504.0; 126296.0; 89352.0; 97288.0; 166448.0
98504.0; 126296.0; 89352.0; 97288.0; 166448.0
98504.0; 126297.0; 89352.0; 97288.0; 166452.0
98504.0; 126296.0; 89352.0; 97288.0; 166448.0
98504.0; 126296.0; 89352.0; 97288.0; 166448.0
98504.0; 126296.0; 89352.0; 97288.0; 166448.0
98504.0; 126296.0; 89352.0; 97288.0; 166448.0
98504.0; 126296.0; 89352.0; 97288.0; 166448.0
98504.0; 126296.0; 89352.0; 97288.0; 166448.0
98504.0; 126296.0; 89352.0; 97288.0; 166462.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166464.0
98504.0; 126296.0; 89352.0; 97288.0; 166454.0
