JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
8927; 1320; 9165; 8710; 555
8933; 1320; 9174; 8707; 555
8931; 1320; 9174; 8713; 555
8931; 1320; 9177; 8710; 555
8931; 1321; 9179; 8711; 554
8933; 1318; 9172; 8708; 555
8947; 1315; 9174; 8737; 555
8947; 1323; 9000; 8726; 554
8947; 1323; 9214; 8731; 555
8942; 1324; 9186; 8737; 555
8949; 1315; 9207; 8729; 555
8939; 1314; 9212; 8734; 555
8945; 1317; 9214; 8734; 555
8938; 1321; 9213; 8730; 555
8936; 1323; 9214; 8738; 555
8947; 1323; 9210; 8740; 555
8949; 1323; 9214; 8737; 556
8944; 1323; 9214; 8741; 556
8942; 1323; 9207; 8730; 556
8946; 1323; 9205; 8733; 555
8947; 1321; 9213; 8736; 556
8938; 1324; 9216; 8736; 556
8944; 1321; 9213; 8734; 556
8948; 1323; 9214; 8733; 556
8945; 1324; 9208; 8738; 556
8934; 1323; 9209; 8739; 556
8943; 1323; 9214; 8730; 556
8934; 1323; 9208; 8735; 556
8947; 1323; 9211; 8735; 556
8945; 1322; 9220; 8652; 555
