JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
4474; 1133; 4392; 2057; 350
4468; 1133; 4329; 2063; 350
4471; 1134; 4397; 2062; 350
4473; 1135; 4397; 2060; 351
4472; 1134; 4394; 2062; 351
4474; 1132; 4396; 2062; 350
4484; 1134; 4385; 2061; 351
4486; 1133; 4388; 2062; 351
4485; 1133; 4384; 2059; 326
4486; 1134; 4387; 2064; 323
4483; 1030; 4382; 2062; 347
4486; 1030; 4386; 2060; 349
4486; 1029; 4384; 2063; 350
4484; 1029; 4387; 2063; 350
4464; 1030; 4388; 2062; 349
4488; 1030; 4325; 2062; 350
4485; 1030; 4316; 2062; 349
4486; 1030; 4350; 2062; 349
4487; 1029; 4386; 2060; 349
4488; 1030; 4387; 2059; 350
4487; 1030; 4388; 2061; 350
4486; 1030; 4378; 2060; 350
4484; 1029; 4387; 2061; 349
4486; 1031; 4386; 2060; 349
4483; 1029; 4387; 2061; 350
4476; 1030; 4388; 2061; 350
4485; 1030; 4382; 2062; 350
4486; 1030; 4387; 2060; 350
4486; 1030; 4385; 2060; 350
4460; 1029; 4385; 2059; 349
