JHashSet; JLinkedSet; SHashSet; SLinkedSet
3563.0; 2586.0; 3823.0; 940.0
3573.0; 2593.0; 3814.0; 953.0
3569.0; 2595.0; 3808.0; 949.0
3574.0; 2596.0; 3800.0; 968.0
3574.0; 2588.0; 3833.0; 970.0
3561.0; 2601.0; 3827.0; 950.0
3555.0; 2596.0; 3817.0; 969.0
3550.0; 2594.0; 3769.0; 969.0
3551.0; 2602.0; 3811.0; 943.0
3549.0; 2585.0; 3808.0; 965.0
3548.0; 2594.0; 3821.0; 968.0
3545.0; 2603.0; 3828.0; 968.0
3555.0; 2590.0; 3817.0; 949.0
3538.0; 2596.0; 3816.0; 936.0
3544.0; 2595.0; 3822.0; 977.0
3551.0; 2593.0; 3823.0; 949.0
3545.0; 2583.0; 3822.0; 949.0
3514.0; 2588.0; 3810.0; 945.0
3533.0; 2599.0; 3814.0; 943.0
3546.0; 2591.0; 3819.0; 970.0
3553.0; 2586.0; 3818.0; 946.0
3551.0; 2600.0; 3833.0; 934.0
3552.0; 2594.0; 3820.0; 961.0
3548.0; 2592.0; 3820.0; 967.0
3554.0; 2603.0; 3815.0; 951.0
3550.0; 2600.0; 3823.0; 951.0
3530.0; 2591.0; 3820.0; 965.0
3547.0; 2600.0; 3814.0; 927.0
3536.0; 2602.0; 3823.0; 968.0
3547.0; 2587.0; 3815.0; 963.0
