JHashSet; JLinkedSet; SHashSet; SLinkedSet
4795; 3642; 3092; 3149
4797; 3644; 3101; 3166
4801; 3643; 3081; 3158
4807; 3652; 3104; 3157
4811; 3651; 3105; 3155
4786; 3652; 3096; 3162
4801; 3639; 3115; 3156
4820; 3640; 3129; 3156
4800; 3636; 3120; 3162
4787; 3635; 3119; 3177
4811; 3635; 3116; 3146
4804; 3638; 3120; 3182
4813; 3628; 3113; 3154
4807; 3630; 3135; 3164
4773; 3630; 3121; 3154
4808; 3631; 3117; 3155
4807; 3633; 3128; 3154
4802; 3636; 3129; 3154
4823; 3638; 3113; 3152
4799; 3632; 3123; 3158
4810; 3626; 3131; 3155
4806; 3630; 3125; 3156
4810; 3648; 3131; 3158
4810; 3636; 3118; 3157
4815; 3636; 3107; 3159
4808; 3632; 3126; 3171
4814; 3637; 3120; 3159
4796; 3632; 3119; 3155
4808; 3637; 3115; 3155
4811; 3630; 3119; 3148
