JHashSet; JLinkedSet; SHashSet; SLinkedSet
4168; 4158; 3467; 2854
4169; 4156; 3372; 2854
4173; 4159; 3344; 2857
4165; 4158; 3399; 2837
4165; 4159; 3447; 2853
4160; 4152; 3455; 2855
4160; 4154; 3327; 2851
4171; 4155; 3274; 2855
4170; 4157; 3466; 2854
4164; 4157; 3469; 2849
4166; 4152; 3464; 2849
4165; 4151; 3463; 2853
4171; 4158; 3461; 2854
4174; 4153; 3461; 2854
4171; 4157; 3465; 2852
4161; 4152; 3463; 2850
4163; 4158; 3466; 2857
4170; 4097; 3363; 2808
4178; 4161; 3375; 2854
4166; 4155; 3425; 2853
4172; 4159; 3479; 2849
4164; 4161; 3473; 2853
4169; 4156; 3463; 2857
4170; 4163; 3466; 2855
4113; 4157; 3471; 2857
4099; 4159; 3472; 2854
4094; 4151; 3470; 2857
4166; 4158; 3467; 2853
4166; 4155; 3466; 2853
4175; 4158; 3467; 2855
