JHashSet; JLinkedSet; SHashSet; SLinkedSet
4133.0; 3697.0; 3106.0; 1192.0
4198.0; 3689.0; 3080.0; 1220.0
4129.0; 3742.0; 3090.0; 1223.0
4155.0; 3703.0; 3084.0; 1231.0
4144.0; 3716.0; 3090.0; 1215.0
4168.0; 3701.0; 3089.0; 1233.0
4084.0; 3739.0; 3112.0; 1233.0
4160.0; 3736.0; 3097.0; 1230.0
4176.0; 3771.0; 3113.0; 1180.0
4196.0; 3808.0; 3083.0; 1168.0
4241.0; 3722.0; 3115.0; 1168.0
4099.0; 3760.0; 3088.0; 1169.0
4107.0; 3752.0; 3109.0; 1177.0
4153.0; 3726.0; 3097.0; 1170.0
4188.0; 3699.0; 3116.0; 1167.0
4171.0; 3701.0; 3085.0; 1162.0
4206.0; 3771.0; 3114.0; 1163.0
4101.0; 3751.0; 3108.0; 1165.0
4102.0; 3758.0; 3104.0; 1167.0
4230.0; 3688.0; 3111.0; 1163.0
4155.0; 3746.0; 3102.0; 1174.0
4176.0; 3750.0; 3098.0; 1169.0
4219.0; 3754.0; 3126.0; 1164.0
4145.0; 3717.0; 3098.0; 1170.0
4153.0; 3786.0; 3097.0; 1170.0
4190.0; 3767.0; 3094.0; 1175.0
4237.0; 3747.0; 3099.0; 1164.0
4266.0; 3788.0; 3125.0; 1171.0
4155.0; 3800.0; 3108.0; 1145.0
4101.0; 3779.0; 3110.0; 1175.0
