JHashMap; JLinkedMap; JTreeMap; SHashMap; SLinkedMap; STreeMap
33587.0; 33511.0; 30113.0; 27788.0; 26416.0; 21863.0
33802.0; 33475.0; 30228.0; 28286.0; 26374.0; 21871.0
33666.0; 33517.0; 30201.0; 27754.0; 26430.0; 21931.0
33712.0; 33474.0; 30219.0; 27852.0; 26399.0; 21924.0
33417.0; 33490.0; 30198.0; 28279.0; 26381.0; 21943.0
33772.0; 33440.0; 30136.0; 28247.0; 26406.0; 21891.0
33563.0; 33347.0; 30172.0; 28304.0; 26436.0; 21902.0
33519.0; 33367.0; 30282.0; 27944.0; 26473.0; 21871.0
33578.0; 33434.0; 30186.0; 28385.0; 26457.0; 21741.0
33867.0; 33140.0; 30167.0; 28326.0; 26512.0; 21866.0
33778.0; 33255.0; 30152.0; 28348.0; 26396.0; 21804.0
33536.0; 32935.0; 30076.0; 27769.0; 26660.0; 21683.0
33266.0; 32542.0; 28690.0; 28177.0; 26598.0; 21654.0
33588.0; 33380.0; 29092.0; 27724.0; 26628.0; 21677.0
33749.0; 33418.0; 29838.0; 28108.0; 26653.0; 21701.0
33856.0; 33341.0; 30105.0; 28155.0; 26618.0; 21730.0
33481.0; 33596.0; 30030.0; 28199.0; 26583.0; 21746.0
33620.0; 33417.0; 30017.0; 28218.0; 26624.0; 21651.0
33768.0; 33518.0; 30070.0; 27788.0; 26619.0; 21726.0
33468.0; 33409.0; 30090.0; 28214.0; 26637.0; 21767.0
33609.0; 33571.0; 30083.0; 27795.0; 26625.0; 21769.0
33666.0; 33427.0; 30100.0; 28193.0; 26575.0; 21727.0
33818.0; 33416.0; 30140.0; 28167.0; 26623.0; 21734.0
33746.0; 33540.0; 30066.0; 28205.0; 26622.0; 21848.0
33871.0; 33480.0; 30006.0; 28181.0; 26576.0; 21745.0
33488.0; 33457.0; 30134.0; 28168.0; 26637.0; 21816.0
33489.0; 33553.0; 30040.0; 28135.0; 26619.0; 21672.0
33439.0; 33410.0; 30108.0; 27815.0; 26625.0; 21795.0
33755.0; 33470.0; 30117.0; 28263.0; 26617.0; 21759.0
33234.0; 33543.0; 30145.0; 28150.0; 26639.0; 21711.0
