JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
8002; 8319; 5880; 3489; 2529; 2231
8062; 8349; 5886; 3489; 2529; 2220
8064; 8377; 5888; 3483; 2524; 2221
8089; 8351; 5885; 3494; 2527; 2231
8081; 8374; 5885; 3482; 2524; 2237
8090; 8382; 5885; 3492; 2541; 2225
8075; 8359; 5870; 3479; 2533; 2228
8083; 8385; 5894; 3495; 2534; 2230
8059; 8348; 5887; 3494; 2536; 2235
8062; 8370; 5888; 3486; 2540; 2231
8091; 8345; 5900; 3486; 2536; 2229
8083; 8334; 5875; 3486; 2532; 2238
8067; 8340; 5878; 3479; 2526; 2228
8077; 8343; 5890; 3492; 2534; 2233
8063; 8337; 5888; 3470; 2527; 2235
8098; 8329; 5887; 3490; 2532; 2242
8070; 8341; 5882; 3476; 2528; 2235
8083; 8346; 5879; 3490; 2533; 2228
8049; 8330; 5888; 3495; 2532; 2233
8111; 8335; 5870; 3481; 2528; 2241
8082; 8339; 5887; 3487; 2534; 2231
8085; 8333; 5878; 3481; 2530; 2232
8057; 8333; 5892; 3487; 2532; 2234
8099; 8333; 5886; 3489; 2531; 2216
8112; 8349; 5888; 3490; 2528; 2230
8062; 8331; 5889; 3481; 2530; 2232
8085; 8331; 5880; 3488; 2532; 2232
8093; 8343; 5890; 3490; 2528; 2224
8062; 8346; 5880; 3481; 2532; 2230
8094; 8335; 5885; 3490; 2528; 2227
