JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
79336.0; 99616.0; 77504.0; 88008.0; 453896.0
