JHashMap; JLinkedMap; JTreeMap; SHashMap; SLinkedMap; STreeMap
34816; 35049; 27874; 24110; 18406; 18223
35382; 35545; 28069; 24123; 18433; 18365
35667; 35932; 28036; 24126; 18390; 18447
35569; 35970; 27755; 24140; 18412; 18355
35654; 36003; 27913; 24116; 18408; 18521
35530; 35855; 28073; 24141; 18434; 18426
35640; 35824; 27667; 24100; 18390; 18489
35452; 35969; 28284; 24152; 18434; 18443
35528; 36003; 27806; 24129; 18414; 18444
35818; 36082; 27957; 24141; 18396; 18410
34514; 35950; 27874; 24112; 18425; 18457
34083; 35716; 27989; 24093; 18592; 18304
36015; 36148; 27952; 24111; 18600; 18298
35961; 35634; 28101; 24084; 18546; 18372
35897; 36175; 28211; 24058; 18581; 18357
36057; 35675; 27750; 24061; 18550; 18351
35991; 36390; 27719; 24074; 18558; 18241
35839; 36091; 27970; 24096; 18538; 18286
35894; 35969; 27690; 24079; 18604; 18343
35835; 35833; 27822; 24069; 18561; 18348
36006; 36010; 28055; 24074; 18544; 18404
36033; 36112; 28006; 24005; 16037; 18305
35809; 36141; 27953; 24075; 18577; 18291
36128; 36002; 27871; 24096; 18588; 18283
36118; 35979; 28013; 24122; 18587; 18375
36162; 35950; 27913; 24098; 18572; 18360
35996; 36008; 27723; 24107; 18578; 18459
35985; 35846; 27776; 24123; 18580; 18325
35993; 36120; 27805; 24106; 18596; 18342
35922; 35974; 27823; 24111; 18562; 18292
