JHashMap; JLinkedMap; JTreeMap; SHashMap; SLinkedMap; STreeMap
377525.0; 472659.0; 485081.0; 315794.0; 296529.0; 308124.0
403871.0; 461489.0; 484015.0; 310060.0; 300702.0; 285801.0
430805.0; 491908.0; 485688.0; 310588.0; 300514.0; 286378.0
429053.0; 492414.0; 482962.0; 308072.0; 301135.0; 312336.0
430109.0; 488662.0; 484894.0; 308438.0; 301880.0; 299991.0
429081.0; 492168.0; 484812.0; 307580.0; 301570.0; 299989.0
429687.0; 491612.0; 484950.0; 309847.0; 298427.0; 312212.0
429151.0; 491950.0; 486612.0; 308175.0; 301849.0; 304434.0
427284.0; 491054.0; 485771.0; 310403.0; 301293.0; 312171.0
428110.0; 489659.0; 485885.0; 310350.0; 302097.0; 304875.0
429506.0; 491531.0; 485685.0; 306275.0; 299158.0; 307851.0
429633.0; 491240.0; 486620.0; 309659.0; 300183.0; 304598.0
429336.0; 488434.0; 485742.0; 308046.0; 299446.0; 311184.0
427746.0; 490503.0; 486080.0; 307556.0; 300557.0; 302975.0
427494.0; 491806.0; 486674.0; 305907.0; 302297.0; 307652.0
428395.0; 491594.0; 486737.0; 307964.0; 301649.0; 311459.0
430240.0; 489507.0; 487107.0; 310297.0; 299648.0; 301836.0
429067.0; 491657.0; 486245.0; 310137.0; 301843.0; 304118.0
430540.0; 486734.0; 485458.0; 310543.0; 303373.0; 311401.0
430641.0; 490773.0; 486245.0; 307736.0; 302048.0; 311013.0
430233.0; 490323.0; 485880.0; 307867.0; 301028.0; 303498.0
426489.0; 488338.0; 486559.0; 310964.0; 301429.0; 304028.0
429943.0; 492235.0; 485260.0; 308514.0; 300757.0; 306604.0
427718.0; 479510.0; 485756.0; 306518.0; 301566.0; 311546.0
430141.0; 491737.0; 485913.0; 310399.0; 302101.0; 306462.0
430742.0; 491983.0; 484837.0; 311193.0; 301059.0; 301464.0
430822.0; 491722.0; 480251.0; 310179.0; 302399.0; 301643.0
429546.0; 487947.0; 484816.0; 310015.0; 301432.0; 311480.0
430538.0; 491848.0; 486914.0; 307888.0; 301970.0; 308224.0
429325.0; 492502.0; 483637.0; 308479.0; 299511.0; 303790.0
