JHashMap; JLinkedMap; JTreeMap; SHashMap; SLinkedMap; STreeMap
417078.0; 457416.0; 489118.0; 297145.0; 296535.0; 302504.0
414262.0; 465621.0; 484649.0; 296273.0; 299176.0; 274591.0
440265.0; 495451.0; 488432.0; 298900.0; 296859.0; 267251.0
439497.0; 494867.0; 488126.0; 298950.0; 301817.0; 283081.0
440913.0; 494164.0; 488383.0; 298666.0; 297842.0; 285592.0
441447.0; 495396.0; 487652.0; 298764.0; 299144.0; 285551.0
440899.0; 494338.0; 488473.0; 299168.0; 299174.0; 285042.0
439509.0; 495520.0; 487584.0; 299358.0; 299992.0; 282858.0
440231.0; 493609.0; 489294.0; 299263.0; 301774.0; 280326.0
440827.0; 494626.0; 486486.0; 298762.0; 300930.0; 285998.0
440194.0; 494946.0; 487871.0; 299067.0; 299445.0; 284042.0
439575.0; 415085.0; 486536.0; 298622.0; 299230.0; 280799.0
440543.0; 415246.0; 486648.0; 298703.0; 299927.0; 283661.0
440976.0; 414518.0; 486564.0; 299189.0; 299957.0; 283630.0
439867.0; 414445.0; 487468.0; 299446.0; 296842.0; 283819.0
439519.0; 484405.0; 486921.0; 299195.0; 297362.0; 286127.0
437616.0; 484401.0; 487548.0; 300080.0; 297901.0; 286219.0
439159.0; 485529.0; 488016.0; 299885.0; 297616.0; 285813.0
440628.0; 483228.0; 487066.0; 300155.0; 296805.0; 284993.0
440518.0; 484427.0; 477681.0; 298832.0; 296067.0; 282680.0
440447.0; 480622.0; 487589.0; 295103.0; 299798.0; 285914.0
439839.0; 483474.0; 486985.0; 299925.0; 302032.0; 280882.0
439577.0; 484990.0; 488169.0; 297327.0; 301093.0; 283934.0
439567.0; 482229.0; 487659.0; 298866.0; 299699.0; 286147.0
438234.0; 482621.0; 487113.0; 299086.0; 301657.0; 286330.0
438487.0; 484420.0; 487406.0; 299265.0; 301416.0; 283946.0
437385.0; 482242.0; 485775.0; 299119.0; 301345.0; 285545.0
440408.0; 484848.0; 488067.0; 299703.0; 301412.0; 285769.0
440730.0; 484643.0; 487448.0; 298509.0; 301382.0; 282899.0
440231.0; 485997.0; 484395.0; 299452.0; 299300.0; 283554.0
