JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
420921; 21277; 391034; 32856; 11817
420942; 21287; 390903; 32859; 11804
421324; 21280; 390144; 32801; 11816
420913; 20919; 388300; 32803; 11813
420858; 21282; 384629; 32853; 11812
421079; 21274; 375956; 32873; 11816
420744; 21281; 385024; 32820; 11818
420905; 21279; 389645; 32850; 11815
421288; 21278; 389834; 32801; 11816
420720; 21284; 389368; 32870; 11813
420959; 21263; 389795; 32823; 11818
420149; 21279; 359433; 33016; 11794
420629; 21261; 358977; 33015; 11807
420595; 21275; 359668; 32956; 11790
420665; 21288; 359489; 33005; 11811
419974; 21281; 359152; 33056; 11791
420541; 21289; 389857; 32978; 11807
420663; 21273; 389967; 33059; 11818
421005; 21284; 390015; 32982; 11809
420531; 21280; 386808; 32991; 11809
420606; 21120; 389306; 33005; 11808
420323; 21279; 389385; 32970; 11806
420196; 21272; 388875; 33053; 11812
421005; 21276; 388139; 33028; 11791
420592; 21272; 389681; 32916; 11798
421102; 21267; 388523; 33006; 11796
421075; 21274; 390120; 32989; 11794
420058; 21271; 390263; 32972; 11793
420438; 21256; 390059; 32937; 11803
420501; 21260; 390237; 32936; 11708
