JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201249.0; 248816.0; 192121.0; 221641.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
201248.0; 248816.0; 192120.0; 221640.0; 338576.0
