JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
11125.0; 6065.0; 11740.0; 6128.0; 441.0
11127.0; 6068.0; 11720.0; 6132.0; 442.0
11129.0; 6086.0; 11715.0; 6131.0; 443.0
11134.0; 6078.0; 11737.0; 6154.0; 442.0
11128.0; 6087.0; 11739.0; 6156.0; 425.0
11136.0; 6091.0; 11612.0; 6155.0; 438.0
11139.0; 6093.0; 11693.0; 6150.0; 442.0
11130.0; 6091.0; 11745.0; 6161.0; 442.0
11131.0; 6083.0; 11709.0; 6160.0; 442.0
11129.0; 6092.0; 11741.0; 6163.0; 442.0
11130.0; 6080.0; 11749.0; 6161.0; 442.0
11126.0; 6085.0; 11713.0; 6152.0; 441.0
11140.0; 6079.0; 11760.0; 6155.0; 442.0
11122.0; 6092.0; 11723.0; 6161.0; 441.0
11131.0; 6099.0; 11759.0; 6165.0; 441.0
11122.0; 6076.0; 11724.0; 6155.0; 442.0
11139.0; 6093.0; 11751.0; 6153.0; 442.0
11130.0; 6095.0; 11728.0; 6161.0; 441.0
11131.0; 6087.0; 11753.0; 6157.0; 441.0
11126.0; 6087.0; 11721.0; 6145.0; 441.0
11116.0; 6088.0; 11768.0; 6175.0; 441.0
11097.0; 6095.0; 11759.0; 6152.0; 441.0
11143.0; 6082.0; 11721.0; 6151.0; 442.0
11126.0; 6093.0; 11750.0; 6143.0; 441.0
11134.0; 6094.0; 11707.0; 6147.0; 441.0
11137.0; 6090.0; 11741.0; 6151.0; 442.0
11133.0; 6091.0; 11715.0; 6145.0; 442.0
11139.0; 6095.0; 11736.0; 6148.0; 441.0
11142.0; 6091.0; 11719.0; 6140.0; 442.0
11127.0; 6078.0; 11757.0; 6153.0; 441.0
