JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
63248.0; 81632.0; 61416.0; 57272.0; 81632.0
