JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
12295.0; 279937.0; 12246.0; 12361.0; 247374.0
12311.0; 283022.0; 12234.0; 12430.0; 248411.0
12287.0; 283790.0; 12225.0; 12419.0; 257486.0
12298.0; 283044.0; 12250.0; 12417.0; 261132.0
12303.0; 286934.0; 12206.0; 12419.0; 260303.0
12294.0; 285025.0; 12235.0; 12415.0; 260801.0
12310.0; 286706.0; 12241.0; 12418.0; 259081.0
12332.0; 287176.0; 12238.0; 12412.0; 258210.0
12326.0; 282530.0; 12194.0; 12429.0; 261446.0
12318.0; 283091.0; 12226.0; 12418.0; 256594.0
12327.0; 283922.0; 12244.0; 12406.0; 260091.0
12314.0; 283737.0; 12251.0; 12406.0; 260280.0
12314.0; 287232.0; 12237.0; 12442.0; 259164.0
12308.0; 283949.0; 12241.0; 12411.0; 261721.0
12319.0; 281743.0; 12243.0; 12392.0; 259908.0
12317.0; 282135.0; 12247.0; 12406.0; 260453.0
12318.0; 287029.0; 12239.0; 12403.0; 258392.0
12312.0; 281828.0; 12248.0; 12327.0; 258321.0
12310.0; 283852.0; 12240.0; 12425.0; 260185.0
12318.0; 281893.0; 12243.0; 12439.0; 260422.0
12319.0; 286525.0; 12232.0; 12412.0; 262037.0
12319.0; 281958.0; 12241.0; 12446.0; 259873.0
12313.0; 282264.0; 12231.0; 12408.0; 261210.0
12321.0; 284427.0; 12239.0; 12432.0; 261213.0
12329.0; 286614.0; 12279.0; 12411.0; 261054.0
12304.0; 282445.0; 12282.0; 12413.0; 257301.0
12318.0; 281426.0; 12278.0; 12406.0; 258906.0
12304.0; 283328.0; 12271.0; 12442.0; 259224.0
12323.0; 285150.0; 12275.0; 12448.0; 262081.0
12314.0; 282843.0; 12281.0; 12396.0; 259781.0
