JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
55824.0; 69632.0; 51160.0; 57272.0; 81632.0
