JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
5685.0; 5459.0; 4186.0; 8466.0; 7077.0; 4534.0
5713.0; 5459.0; 4169.0; 8438.0; 7075.0; 4541.0
5681.0; 5455.0; 4164.0; 8357.0; 7060.0; 4539.0
5731.0; 5525.0; 4149.0; 8433.0; 7060.0; 4546.0
5710.0; 5505.0; 4167.0; 8434.0; 7065.0; 4553.0
5711.0; 5513.0; 4174.0; 8413.0; 7038.0; 4546.0
5726.0; 5508.0; 4171.0; 8456.0; 7044.0; 4485.0
5714.0; 5511.0; 4178.0; 8470.0; 7065.0; 4482.0
5723.0; 5502.0; 4183.0; 8392.0; 7064.0; 4484.0
5726.0; 5520.0; 4170.0; 8404.0; 7062.0; 4490.0
5721.0; 5505.0; 4168.0; 8431.0; 7052.0; 4505.0
5723.0; 5542.0; 4159.0; 8428.0; 7037.0; 4493.0
5717.0; 5519.0; 4161.0; 8435.0; 7023.0; 4494.0
5736.0; 5530.0; 4170.0; 8413.0; 7060.0; 4489.0
5727.0; 5523.0; 4162.0; 8455.0; 7076.0; 4474.0
5741.0; 5519.0; 4173.0; 8464.0; 7092.0; 4486.0
5723.0; 5523.0; 4175.0; 8395.0; 7080.0; 4481.0
5729.0; 5523.0; 4167.0; 8466.0; 7083.0; 4471.0
5729.0; 5503.0; 4172.0; 8436.0; 7067.0; 4480.0
5726.0; 5528.0; 4169.0; 8440.0; 7065.0; 4477.0
5718.0; 5527.0; 4169.0; 8398.0; 7070.0; 4484.0
5698.0; 5534.0; 4168.0; 8436.0; 7044.0; 4481.0
5732.0; 5529.0; 4189.0; 8418.0; 7074.0; 4492.0
5715.0; 5529.0; 4180.0; 8453.0; 7068.0; 4488.0
5730.0; 5539.0; 4173.0; 8461.0; 7071.0; 4480.0
5725.0; 5516.0; 4181.0; 8463.0; 7061.0; 4481.0
5707.0; 5492.0; 4181.0; 8420.0; 7086.0; 4489.0
5705.0; 5519.0; 4178.0; 8414.0; 7091.0; 4479.0
5701.0; 5521.0; 4172.0; 8410.0; 7068.0; 4484.0
5736.0; 5519.0; 4183.0; 8440.0; 7080.0; 4492.0
