JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
36967; 35576; 29137; 32627; 22840; 23529
37093; 36174; 29697; 32630; 22770; 23612
37040; 35935; 30476; 32614; 22796; 23594
36966; 36135; 30434; 32502; 22734; 23423
36986; 36014; 30579; 32570; 22803; 23637
37141; 35943; 30544; 32514; 22739; 23555
37069; 35921; 30494; 32455; 22783; 23519
37109; 35838; 30420; 32553; 22785; 23529
36398; 35965; 30570; 32553; 22742; 23517
37058; 36033; 30428; 32527; 22769; 23683
37095; 35976; 30433; 32489; 22774; 23518
36395; 35899; 30393; 32576; 23330; 23623
36341; 35906; 30286; 32574; 23306; 23573
35986; 35894; 30411; 32618; 23359; 23594
35971; 35908; 30551; 32592; 23323; 23699
35949; 35787; 30357; 32555; 23347; 23510
36101; 35856; 30317; 32512; 23293; 23555
35789; 35886; 30289; 32623; 23302; 23578
35900; 35810; 30334; 32635; 23310; 23487
35906; 35946; 30651; 32558; 23341; 23583
35769; 35823; 30233; 32551; 23340; 23546
35843; 35741; 30572; 32571; 23345; 23557
36031; 35810; 30486; 32576; 23331; 23562
35871; 35866; 30416; 32549; 23314; 23664
35825; 35775; 30491; 32566; 23340; 23572
35930; 35702; 30422; 32582; 23296; 23394
35985; 35661; 30292; 32553; 23282; 23472
35948; 35819; 30585; 32564; 23343; 23568
35942; 35830; 30343; 32604; 23367; 23516
35891; 35977; 30264; 32551; 23283; 23642
