JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
5228.0; 5287.0; 5277.0; 3297.0; 1881.0; 2662.0
5231.0; 5294.0; 5321.0; 3302.0; 1879.0; 2664.0
5188.0; 5295.0; 5329.0; 3274.0; 1870.0; 2675.0
5300.0; 5317.0; 5336.0; 3296.0; 1878.0; 2670.0
5305.0; 5304.0; 5356.0; 3298.0; 1877.0; 2664.0
5263.0; 5323.0; 5369.0; 3291.0; 1879.0; 2678.0
5268.0; 5321.0; 5373.0; 3302.0; 1874.0; 2670.0
5284.0; 5318.0; 5364.0; 3301.0; 1874.0; 2663.0
5267.0; 5311.0; 5362.0; 3311.0; 1882.0; 2668.0
5284.0; 5310.0; 5341.0; 3300.0; 1881.0; 2671.0
5305.0; 5308.0; 5378.0; 3306.0; 1881.0; 2682.0
5270.0; 5300.0; 5400.0; 3312.0; 1852.0; 2668.0
5285.0; 5311.0; 5356.0; 3302.0; 1851.0; 2671.0
5287.0; 5290.0; 5363.0; 3317.0; 1852.0; 2670.0
5265.0; 5300.0; 5391.0; 3308.0; 1855.0; 2670.0
5282.0; 5315.0; 5376.0; 3309.0; 1855.0; 2680.0
5273.0; 5314.0; 5360.0; 3300.0; 1883.0; 2674.0
5269.0; 5309.0; 5385.0; 3307.0; 1882.0; 2666.0
5263.0; 5317.0; 5338.0; 3301.0; 1884.0; 2672.0
5285.0; 5315.0; 5364.0; 3302.0; 1882.0; 2676.0
5271.0; 5307.0; 5372.0; 3314.0; 1879.0; 2673.0
5294.0; 5307.0; 5343.0; 3310.0; 1883.0; 2685.0
5280.0; 5285.0; 5367.0; 3309.0; 1878.0; 2674.0
5299.0; 5293.0; 5381.0; 3299.0; 1881.0; 2669.0
5305.0; 5306.0; 5360.0; 3304.0; 1881.0; 2674.0
5295.0; 5295.0; 5372.0; 3304.0; 1881.0; 2673.0
5277.0; 5291.0; 5382.0; 3312.0; 1882.0; 2672.0
5283.0; 5312.0; 5373.0; 3292.0; 1881.0; 2686.0
5287.0; 5296.0; 5367.0; 3312.0; 1882.0; 2673.0
5296.0; 5304.0; 5372.0; 3307.0; 1882.0; 2670.0
