JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
5860; 7995; 7608; 9501; 8153; 7659
5865; 8071; 7705; 9471; 8279; 7647
5883; 8036; 7659; 9452; 8282; 7638
5873; 8088; 7740; 9485; 8282; 7575
5893; 8080; 7708; 9502; 8292; 7609
5904; 8034; 7684; 9482; 8247; 7603
5892; 8077; 7721; 9481; 8277; 7609
5882; 8087; 7784; 9475; 8228; 7617
5892; 8068; 7758; 9463; 8266; 7620
5892; 8095; 7698; 9458; 8276; 7619
5909; 8083; 7678; 9496; 8239; 7613
5911; 8042; 7715; 9503; 8276; 7609
5899; 8058; 7735; 9451; 8225; 7574
5917; 8036; 7723; 9462; 8290; 7636
5901; 8053; 7683; 9424; 8255; 7610
5900; 8038; 7633; 9484; 8245; 7625
5911; 8019; 7712; 9494; 8237; 7625
5906; 8063; 7752; 9476; 8273; 7615
5901; 8037; 7673; 9490; 8264; 7636
5913; 8069; 7654; 9461; 8247; 7621
5899; 8072; 7683; 9468; 8273; 7605
5895; 8086; 7752; 9455; 8286; 7603
5898; 8054; 7713; 9479; 8273; 7612
5909; 8099; 7631; 9464; 8237; 7621
5903; 8041; 7667; 9513; 8257; 7593
5899; 8081; 7730; 9494; 8283; 7600
5909; 8077; 7769; 9468; 8245; 7604
5899; 8031; 7690; 9499; 8284; 7607
5898; 8058; 7653; 9500; 8268; 7597
5904; 8049; 7717; 9478; 8260; 7618
