JHashMap; JLinkedMap; JTreeMap; SHashMap; SLinkedMap; STreeMap
37470.0; 37049.0; 31115.0; 31157.0; 29721.0; 21360.0
38158.0; 37484.0; 31140.0; 31181.0; 29756.0; 21275.0
38557.0; 37631.0; 30998.0; 31430.0; 29649.0; 21290.0
38649.0; 37964.0; 30783.0; 31235.0; 29757.0; 21368.0
38490.0; 37187.0; 31018.0; 31324.0; 29667.0; 21434.0
38544.0; 37977.0; 31114.0; 31321.0; 29706.0; 21330.0
38570.0; 37583.0; 31193.0; 31308.0; 29749.0; 21337.0
38490.0; 37899.0; 30968.0; 31370.0; 29686.0; 21301.0
38449.0; 37580.0; 31384.0; 31228.0; 29851.0; 21415.0
38398.0; 37829.0; 31087.0; 31302.0; 29682.0; 21183.0
38478.0; 37881.0; 31179.0; 31236.0; 29705.0; 21403.0
38604.0; 38107.0; 31129.0; 31172.0; 29667.0; 21202.0
38525.0; 37932.0; 31058.0; 31231.0; 29701.0; 21119.0
38641.0; 37838.0; 31060.0; 31200.0; 29666.0; 21290.0
38614.0; 38125.0; 31151.0; 31269.0; 29706.0; 21303.0
38556.0; 37947.0; 31255.0; 31350.0; 29746.0; 21194.0
38626.0; 37853.0; 31392.0; 31273.0; 29816.0; 21468.0
38452.0; 37648.0; 31329.0; 31185.0; 29728.0; 21253.0
38406.0; 37683.0; 31073.0; 31180.0; 29797.0; 21203.0
38549.0; 38323.0; 31440.0; 31188.0; 29724.0; 21215.0
38493.0; 37818.0; 31052.0; 31117.0; 29757.0; 21253.0
38654.0; 37644.0; 31291.0; 31132.0; 29725.0; 21168.0
38581.0; 37783.0; 31343.0; 31276.0; 29773.0; 21229.0
38592.0; 38002.0; 31089.0; 31123.0; 29744.0; 21202.0
38454.0; 37797.0; 31025.0; 31251.0; 29750.0; 21055.0
38543.0; 37874.0; 30972.0; 31205.0; 29659.0; 21198.0
38594.0; 37624.0; 31229.0; 31160.0; 29697.0; 20951.0
38695.0; 38084.0; 31298.0; 31111.0; 29719.0; 21182.0
38608.0; 37967.0; 31139.0; 31171.0; 29679.0; 21342.0
38672.0; 38082.0; 31131.0; 31202.0; 29741.0; 21141.0
