JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
264104.0; 272938.0; 232051.0; 261409.0; 236902.0
266496.0; 273140.0; 232841.0; 270644.0; 224124.0
268157.0; 271599.0; 232345.0; 276142.0; 238385.0
264520.0; 273908.0; 231422.0; 276052.0; 238939.0
265766.0; 273316.0; 232095.0; 275287.0; 239851.0
265736.0; 272244.0; 232211.0; 275309.0; 237641.0
264954.0; 271063.0; 231949.0; 276344.0; 240470.0
264005.0; 272350.0; 232295.0; 290916.0; 240030.0
264731.0; 269095.0; 231552.0; 290616.0; 237837.0
266486.0; 269188.0; 232616.0; 290764.0; 240116.0
264795.0; 270590.0; 232172.0; 290341.0; 235453.0
265741.0; 268014.0; 224444.0; 276335.0; 242685.0
267475.0; 274066.0; 224027.0; 277216.0; 242176.0
264251.0; 273181.0; 225665.0; 291223.0; 240287.0
267102.0; 269731.0; 225595.0; 277265.0; 241848.0
267127.0; 270730.0; 225426.0; 275904.0; 241015.0
267073.0; 273608.0; 227279.0; 276413.0; 238208.0
265884.0; 270313.0; 226048.0; 275703.0; 238739.0
266132.0; 273855.0; 225284.0; 290598.0; 241721.0
265282.0; 273524.0; 225386.0; 291360.0; 239853.0
264302.0; 273793.0; 225501.0; 275115.0; 242532.0
267031.0; 272415.0; 226274.0; 277225.0; 239796.0
265617.0; 274999.0; 225546.0; 291237.0; 242135.0
265191.0; 271923.0; 225857.0; 277120.0; 240759.0
265776.0; 273403.0; 226614.0; 291037.0; 239370.0
265839.0; 278839.0; 226367.0; 276677.0; 241682.0
264738.0; 275120.0; 225306.0; 275909.0; 240638.0
267300.0; 267311.0; 225648.0; 277913.0; 242069.0
265716.0; 274021.0; 225153.0; 291643.0; 240226.0
267762.0; 275846.0; 226745.0; 291466.0; 239303.0
