JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
3680; 5159; 3704; 4060; 5456
3677; 5166; 3688; 4052; 5445
3671; 5149; 3681; 4056; 5452
3675; 5173; 3690; 4067; 5468
3663; 5168; 3678; 4064; 5457
3676; 5173; 3696; 4069; 5420
3684; 5168; 3684; 4059; 5455
3683; 5178; 3694; 4067; 5454
3689; 5169; 3704; 4062; 5462
3686; 5142; 3703; 4061; 5464
3692; 5151; 3700; 4067; 5465
3690; 5163; 3683; 4059; 5458
3690; 5189; 3710; 4058; 5472
3688; 5182; 3705; 4058; 5457
3690; 5180; 3703; 4057; 5455
3688; 5173; 3710; 4063; 5461
3677; 5178; 3711; 4059; 5456
3682; 5175; 3708; 4064; 5460
3685; 5176; 3709; 4059; 5452
3693; 5180; 3709; 4056; 5451
3691; 5186; 3703; 4055; 5450
3691; 5162; 3708; 4058; 5469
3693; 5184; 3709; 4057; 5451
3692; 5176; 3715; 4058; 5471
3695; 5187; 3708; 4056; 5445
3696; 5196; 3706; 4057; 5433
3692; 5191; 3715; 4060; 5442
3690; 5187; 3706; 4056; 5472
3686; 5185; 3711; 4052; 5449
3693; 5187; 3707; 4060; 5454
