JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
18661.0; 16446.0; 18506.0; 12119.0; 11070.0
18641.0; 16343.0; 18482.0; 12129.0; 11097.0
18670.0; 16315.0; 18516.0; 12109.0; 11085.0
18734.0; 16341.0; 18469.0; 12124.0; 11095.0
18653.0; 16357.0; 18521.0; 12126.0; 11086.0
18696.0; 16351.0; 18546.0; 12127.0; 11088.0
18707.0; 16349.0; 18459.0; 12116.0; 11089.0
18728.0; 16346.0; 18456.0; 12106.0; 11086.0
18734.0; 16354.0; 18507.0; 12106.0; 11072.0
18657.0; 16364.0; 18507.0; 12123.0; 11097.0
18688.0; 16369.0; 18478.0; 12115.0; 11088.0
18655.0; 16331.0; 18498.0; 12112.0; 11125.0
18664.0; 16335.0; 18492.0; 12099.0; 11086.0
18695.0; 16334.0; 18478.0; 12109.0; 11119.0
18722.0; 16315.0; 18505.0; 12092.0; 11116.0
18711.0; 16313.0; 18503.0; 12112.0; 11104.0
18637.0; 16315.0; 18501.0; 12106.0; 11103.0
18669.0; 16334.0; 18478.0; 12110.0; 11074.0
18662.0; 16351.0; 18519.0; 12105.0; 11106.0
18646.0; 16333.0; 18507.0; 12107.0; 11109.0
18681.0; 16347.0; 18465.0; 12106.0; 11115.0
18632.0; 16322.0; 18455.0; 12112.0; 11101.0
18615.0; 16335.0; 18516.0; 12114.0; 11113.0
18647.0; 16351.0; 18499.0; 12099.0; 11114.0
18677.0; 16343.0; 18488.0; 12101.0; 11115.0
18699.0; 16321.0; 18493.0; 12111.0; 11103.0
18688.0; 16341.0; 18495.0; 12106.0; 11111.0
18618.0; 16312.0; 18517.0; 12108.0; 11107.0
18711.0; 16345.0; 18482.0; 12111.0; 11100.0
18679.0; 16336.0; 18481.0; 12101.0; 11107.0
