JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
37784; 12046; 38797; 30689; 11329
37770; 12054; 38700; 30747; 11325
37731; 12059; 39130; 30744; 11321
37840; 12033; 38637; 30745; 11328
37678; 12025; 38670; 30841; 11322
37754; 12070; 39232; 30686; 11333
37878; 12038; 38689; 30690; 11189
37739; 12041; 39332; 30858; 11322
37800; 12096; 38807; 30896; 11325
37826; 12081; 39209; 30698; 11328
37799; 12059; 39207; 30690; 11340
37761; 12090; 38896; 30819; 11345
37763; 12114; 39495; 30928; 11346
37849; 12081; 38833; 30758; 11283
37752; 12070; 39341; 30861; 11313
37693; 12090; 38885; 30828; 11321
37731; 12109; 39350; 30954; 11342
37609; 12093; 38781; 30690; 11372
37807; 12101; 39443; 30742; 11355
37587; 12054; 38701; 30689; 11347
37716; 12087; 39342; 30816; 11360
37695; 12111; 38763; 30771; 11356
37689; 12077; 39277; 30809; 11346
37602; 12083; 38863; 30788; 11362
37713; 12066; 39261; 30793; 11351
37788; 12064; 38644; 30687; 11362
37711; 12094; 39323; 30722; 11343
37818; 12107; 38880; 30751; 11359
37735; 12070; 39341; 30844; 11366
37660; 12110; 38678; 30782; 11354
