JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
3606.0; 3536.0; 2965.0; 738.0; 298.0; 290.0
3602.0; 3539.0; 2956.0; 740.0; 300.0; 291.0
3600.0; 3539.0; 2960.0; 731.0; 298.0; 292.0
3597.0; 3522.0; 2982.0; 744.0; 300.0; 291.0
3600.0; 3519.0; 2966.0; 738.0; 300.0; 292.0
3592.0; 3537.0; 2956.0; 740.0; 298.0; 292.0
3609.0; 3528.0; 2958.0; 742.0; 298.0; 292.0
3615.0; 3540.0; 2964.0; 742.0; 299.0; 293.0
3606.0; 3544.0; 2962.0; 743.0; 299.0; 292.0
3595.0; 3536.0; 2960.0; 743.0; 300.0; 291.0
3616.0; 3541.0; 2963.0; 743.0; 300.0; 291.0
3621.0; 3549.0; 2971.0; 744.0; 298.0; 293.0
3615.0; 3540.0; 2969.0; 743.0; 298.0; 292.0
3623.0; 3531.0; 2973.0; 742.0; 298.0; 291.0
3614.0; 3539.0; 2969.0; 741.0; 297.0; 290.0
3616.0; 3532.0; 2967.0; 741.0; 299.0; 291.0
3617.0; 3532.0; 2965.0; 743.0; 298.0; 292.0
3628.0; 3535.0; 2960.0; 735.0; 297.0; 291.0
3620.0; 3548.0; 2965.0; 742.0; 297.0; 291.0
3611.0; 3546.0; 2961.0; 742.0; 299.0; 291.0
3622.0; 3540.0; 2962.0; 743.0; 295.0; 292.0
3610.0; 3528.0; 2973.0; 742.0; 299.0; 292.0
3633.0; 3530.0; 2960.0; 743.0; 298.0; 292.0
3615.0; 3537.0; 2974.0; 742.0; 297.0; 294.0
3626.0; 3528.0; 2967.0; 742.0; 299.0; 291.0
3617.0; 3540.0; 2964.0; 741.0; 298.0; 291.0
3623.0; 3533.0; 2966.0; 742.0; 298.0; 291.0
3632.0; 3545.0; 2962.0; 741.0; 299.0; 292.0
3626.0; 3551.0; 2962.0; 743.0; 298.0; 292.0
3620.0; 3525.0; 2966.0; 742.0; 296.0; 290.0
