JHashMap; JLinkedMap; JTreeMap; SHashMap; SLinkedMap; STreeMap
35402; 36195; 30111; 32097; 30327; 24077
36253; 36448; 30191; 32337; 30352; 23957
36856; 36788; 30421; 32537; 30435; 24119
36638; 36752; 30275; 32763; 30383; 24062
36536; 36848; 30426; 32573; 30445; 23986
36756; 37010; 30118; 32297; 30359; 24162
36866; 37039; 30220; 32666; 30443; 24014
36504; 36873; 30430; 32530; 30411; 24078
36697; 37178; 30381; 32677; 30352; 24089
37023; 36927; 30097; 32677; 30474; 24014
37046; 36877; 30277; 32562; 30385; 24055
36851; 36957; 29802; 32626; 30611; 23922
36683; 36954; 29901; 32717; 30654; 23907
36615; 36724; 29957; 32750; 30542; 23944
36809; 36665; 30510; 32641; 30489; 23952
36874; 36747; 30180; 32743; 30576; 23862
36729; 37057; 30479; 32734; 30639; 23946
36733; 36724; 30496; 32773; 30627; 23825
37030; 36812; 30702; 32629; 30465; 23947
37056; 37066; 30114; 32654; 30491; 23944
36821; 36859; 30156; 32681; 30581; 23841
36766; 36784; 30156; 32733; 30551; 23833
36882; 36964; 30216; 32817; 30314; 24026
36714; 36897; 30542; 32589; 30366; 23912
36725; 36831; 30459; 32729; 30429; 23759
36647; 36840; 30533; 32626; 30404; 23695
36519; 36745; 29712; 32627; 30375; 23861
36828; 36831; 30522; 32703; 30403; 23800
36816; 37007; 30354; 32824; 30421; 23798
36677; 36891; 30713; 32700; 30373; 23862
