JHashMap; JLinkedMap; JTreeMap; SHashMap; SLinkedMap; STreeMap
25875; 25836; 21712; 24922; 23755; 18771
25967; 26266; 21823; 24944; 23698; 18828
26993; 26638; 21877; 25009; 23607; 18738
26961; 26632; 21732; 24955; 23732; 18786
26950; 26679; 21855; 24957; 23706; 18631
27058; 26707; 21887; 24949; 23801; 18929
26944; 26675; 21792; 24917; 23591; 18570
26962; 26755; 21930; 24933; 23813; 18914
26966; 26643; 21937; 24981; 23629; 19024
26737; 26585; 21984; 25008; 23606; 18914
26738; 26645; 21825; 24963; 23581; 18917
26722; 26548; 21969; 24980; 23815; 18858
26671; 26513; 21864; 24973; 23676; 18674
26780; 26552; 21690; 24973; 23706; 18912
26768; 26526; 21903; 25015; 23787; 18959
26644; 26372; 21820; 24873; 23652; 18904
26799; 26607; 21872; 24987; 23778; 18597
26585; 26720; 21571; 25003; 23811; 18944
26925; 26422; 21821; 24998; 23708; 18917
26979; 26591; 21846; 25013; 23735; 18839
26793; 26691; 21948; 24971; 23768; 18628
27042; 26497; 21678; 24946; 23715; 18854
26965; 26459; 21866; 24971; 23767; 18898
27112; 26583; 21951; 24982; 23716; 18904
26789; 26600; 21915; 25040; 23727; 18648
26937; 26580; 21636; 24644; 23716; 18900
26785; 26589; 21633; 24917; 23696; 18887
27082; 26494; 21881; 24940; 23873; 18858
26871; 26539; 21940; 25057; 23712; 18766
27065; 26476; 21821; 24997; 23741; 18944
