JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85633.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
55824.0; 69632.0; 51160.0; 85272.0; 85632.0
