JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
10441.0; 6217.0; 10446.0; 6830.0; 2869.0
10435.0; 6210.0; 10450.0; 6833.0; 2868.0
10437.0; 6209.0; 10460.0; 6835.0; 2867.0
10434.0; 6211.0; 10436.0; 6842.0; 2864.0
10431.0; 6219.0; 10435.0; 6844.0; 2865.0
10447.0; 6214.0; 10425.0; 6853.0; 2868.0
10429.0; 6210.0; 10438.0; 6855.0; 2867.0
10433.0; 6211.0; 10476.0; 6850.0; 2866.0
10438.0; 6207.0; 10430.0; 6838.0; 2862.0
10444.0; 6212.0; 10472.0; 6831.0; 2867.0
10443.0; 6209.0; 10450.0; 6840.0; 2863.0
10435.0; 6219.0; 10468.0; 6834.0; 2871.0
10427.0; 6227.0; 10454.0; 6850.0; 2873.0
10429.0; 6220.0; 10470.0; 6857.0; 2873.0
10436.0; 6218.0; 10439.0; 6844.0; 2875.0
10417.0; 6225.0; 10472.0; 6857.0; 2871.0
10408.0; 6203.0; 10438.0; 6852.0; 2873.0
10433.0; 6219.0; 10460.0; 6850.0; 2873.0
10436.0; 6218.0; 10436.0; 6845.0; 2872.0
10424.0; 6214.0; 10453.0; 6857.0; 2870.0
10428.0; 6218.0; 10473.0; 6848.0; 2877.0
10435.0; 6224.0; 10452.0; 6855.0; 2870.0
10433.0; 6225.0; 10474.0; 6848.0; 2872.0
10439.0; 6216.0; 10445.0; 6856.0; 2873.0
10440.0; 6224.0; 10473.0; 6848.0; 2873.0
10432.0; 6223.0; 10426.0; 6858.0; 2869.0
10438.0; 6217.0; 10455.0; 6848.0; 2867.0
10414.0; 6218.0; 10435.0; 6848.0; 2871.0
10411.0; 6218.0; 10474.0; 6860.0; 2870.0
10432.0; 6225.0; 10427.0; 6849.0; 2873.0
