JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
40053; 39059; 31975; 32567; 31088; 18943
40201; 39639; 33102; 32593; 31130; 18966
40146; 39600; 33822; 32582; 31120; 18983
40078; 39595; 33256; 32621; 30997; 18956
39846; 39557; 33764; 32542; 31105; 18920
39892; 39552; 33750; 32600; 31070; 18969
39820; 39570; 33683; 32605; 31138; 19017
39948; 39555; 33760; 32601; 31008; 18940
39985; 39557; 33690; 32624; 31048; 19043
39952; 39524; 33778; 32594; 31120; 18970
39792; 39572; 33689; 32588; 30953; 18876
39780; 39391; 33576; 32524; 30918; 18778
39782; 39480; 33724; 32460; 30919; 19027
39693; 39475; 33834; 32482; 31057; 18861
39794; 39471; 33417; 32496; 30994; 18909
39724; 39419; 33705; 32486; 31096; 18809
39839; 39402; 33758; 32356; 31054; 18858
39891; 39399; 33557; 32460; 30991; 18948
39858; 39400; 33703; 32564; 31048; 18948
39792; 39311; 33788; 32555; 31053; 18932
39859; 39331; 33624; 32529; 30987; 18755
39748; 39384; 33688; 32448; 30973; 18966
39756; 39524; 33798; 32537; 30936; 18907
39855; 39473; 33669; 32456; 30980; 18824
39830; 39499; 33869; 32501; 31055; 18904
39847; 39509; 33740; 32502; 30984; 18867
39818; 39495; 33728; 32440; 30918; 18785
39784; 39390; 33751; 32513; 30914; 18734
39830; 39542; 33790; 32465; 31046; 18715
39793; 39512; 33746; 32490; 31053; 18780
