JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
1239.0; 2226.0; 1846.0; 2927.0; 4562.0; 2531.0
1239.0; 2230.0; 1854.0; 2922.0; 4595.0; 2545.0
1242.0; 2230.0; 1849.0; 2905.0; 4598.0; 2545.0
1238.0; 2234.0; 1841.0; 2914.0; 4598.0; 2538.0
1239.0; 2229.0; 1846.0; 2909.0; 4601.0; 2534.0
1237.0; 2218.0; 1844.0; 2951.0; 4619.0; 2556.0
1243.0; 2239.0; 1850.0; 2944.0; 4600.0; 2541.0
1245.0; 2240.0; 1842.0; 2906.0; 4617.0; 2527.0
1243.0; 2237.0; 1844.0; 2918.0; 4610.0; 2546.0
1242.0; 2230.0; 1843.0; 2914.0; 4622.0; 2537.0
1244.0; 2240.0; 1838.0; 2898.0; 4617.0; 2547.0
1240.0; 2260.0; 1842.0; 2924.0; 4605.0; 2567.0
1230.0; 2254.0; 1847.0; 2940.0; 4613.0; 2567.0
1244.0; 2257.0; 1845.0; 2935.0; 4601.0; 2553.0
1244.0; 2257.0; 1845.0; 2950.0; 4618.0; 2553.0
1246.0; 2259.0; 1844.0; 2956.0; 4609.0; 2556.0
1244.0; 2259.0; 1852.0; 2951.0; 4606.0; 2549.0
1239.0; 2255.0; 1852.0; 2943.0; 4616.0; 2549.0
1246.0; 2263.0; 1855.0; 2939.0; 4616.0; 2554.0
1249.0; 2259.0; 1843.0; 2963.0; 4602.0; 2551.0
1251.0; 2261.0; 1849.0; 2945.0; 4614.0; 2552.0
1244.0; 2256.0; 1853.0; 2944.0; 4609.0; 2548.0
1250.0; 2259.0; 1855.0; 2923.0; 4614.0; 2559.0
1247.0; 2254.0; 1844.0; 2943.0; 4616.0; 2552.0
1246.0; 2263.0; 1854.0; 2938.0; 4615.0; 2551.0
1239.0; 2262.0; 1854.0; 2933.0; 4603.0; 2549.0
1240.0; 2266.0; 1854.0; 2929.0; 4614.0; 2552.0
1244.0; 2260.0; 1848.0; 2933.0; 4512.0; 2550.0
1245.0; 2259.0; 1854.0; 2952.0; 4532.0; 2555.0
1244.0; 2260.0; 1856.0; 2961.0; 4533.0; 2552.0
