Operacja; JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
AddAll; 4.7 %; 2.7 %; 2.8 %; 3.0 %; 3.7 %
Append; 0.5 %; 3.5 %; 4.1 %; 6.4 %; 2.5 %
Contains; 4.9 %; 8.5 %; 4.5 %; 4.4 %; 8.7 %
Get; 7.9 %; 4.7 %; 2.4 %; 1.2 %; 3.4 %
IndexOf; 0.4 %; 0.9 %; 6.0 %; 7.6 %; 15.4 %
Insert; 0.6 %; 1.6 %; 0.3 %; 0.5 %; 1.3 %
InsertAll; 2.8 %; 2.6 %; 2.4 %; 2.1 %; 1.1 %
LastIndexOf; 13.4 %; 8.6 %; 19.4 %; 4.6 %; 2.8 %
Prepend; 0.4 %; 1.7 %; 0.9 %; 0.5 %; 3.6 %
Remove; 5.2 %; 9.2 %; 7.3 %; 12.1 %; 9.0 %
RemoveAt; 0.1 %; 3.9 %; 1.0 %; 0.4 %; 2.6 %
Set; 5.7 %; 3.9 %; 0.3 %; 0.8 %; 2.7 %
