Operation; JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
AddAll; (7376, 7387); (7720, 7746); (7699, 7712); (9428, 9450); (8577, 8589)
Append; (266854, 267743); (281010, 283203); (220659, 221370); (261326, 266092); (241741, 244352)
Contains; (11059, 11074); (6178, 6183); (11607, 11639); (8675, 8689); (2738, 2741)
Get; (420580, 420839); (21232, 21285); (379476, 388028); (32904, 32967); (11795, 11810)
IndexOf; (10389, 10396); (6159, 6164); (11026, 11042); (7368, 7377); (3332, 3335)
Insert; (13246, 13259); (16892, 16905); (13109, 13127); (13182, 13192); (16432, 16446)
InsertAll; (3789, 3795); (5291, 5301); (3788, 3795); (4096, 4101); (5421, 5431)
LastIndexOf; (11126, 11133); (6083, 6089); (11719, 11741); (6148, 6155); (439, 442)
Prepend; (12309, 12317); (283098, 284605); (12236, 12252); (12404, 12422); (257830, 260333)
Remove; (6068, 6076); (4753, 4755); (6185, 6192); (1075, 1076); (4290, 4299)
RemoveAt; (18653, 18662); (16991, 17010); (18675, 18684); (12055, 12073); (11391, 11396)
Set; (39872, 39919); (11692, 11707); (38809, 39022); (30713, 30786); (11055, 11078)
