JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
6007.0; 8599.0; 5564.0; 1381.0; 937.0; 453.0
6014.0; 8574.0; 5556.0; 1382.0; 938.0; 454.0
6008.0; 8596.0; 5544.0; 1382.0; 940.0; 453.0
5994.0; 8612.0; 5574.0; 1381.0; 938.0; 453.0
6001.0; 8612.0; 5606.0; 1384.0; 937.0; 453.0
5991.0; 8620.0; 5604.0; 1382.0; 938.0; 453.0
5993.0; 8642.0; 5588.0; 1382.0; 938.0; 452.0
6011.0; 8598.0; 5616.0; 1379.0; 937.0; 453.0
5996.0; 8649.0; 5598.0; 1385.0; 939.0; 453.0
5998.0; 8617.0; 5577.0; 1386.0; 934.0; 453.0
