JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
61368.0; 80112.0; 59536.0; 72384.0; 713160.0
61368.0; 80112.0; 59536.0; 72384.0; 713160.0
61368.0; 80112.0; 59536.0; 72384.0; 713160.0
61368.0; 80112.0; 59536.0; 72384.0; 713160.0
61368.0; 80112.0; 59536.0; 72384.0; 713160.0
61368.0; 80112.0; 59536.0; 72384.0; 713160.0
61368.0; 80112.0; 59536.0; 72384.0; 713160.0
61368.0; 80112.0; 59536.0; 72384.0; 713160.0
61368.0; 80112.0; 59536.0; 72384.0; 713160.0
61368.0; 80112.0; 59536.0; 72384.0; 713160.0
