JHashMap; JLinkedMap; JTreeMap; SHashMap; SLinkedMap; STreeMap
36285.0; 36099.0; 31957.0; 28255.0; 26356.0; 22748.0
36360.0; 35959.0; 32123.0; 28218.0; 26364.0; 22887.0
36376.0; 36108.0; 32292.0; 28279.0; 26376.0; 22799.0
36352.0; 36121.0; 32420.0; 28180.0; 26353.0; 22735.0
36357.0; 36261.0; 32604.0; 28310.0; 26321.0; 22772.0
36349.0; 36233.0; 32507.0; 28250.0; 26370.0; 22842.0
36359.0; 36141.0; 32520.0; 28301.0; 26402.0; 22578.0
36359.0; 36197.0; 32524.0; 28271.0; 26379.0; 22662.0
36314.0; 36174.0; 32420.0; 28146.0; 26427.0; 22624.0
36387.0; 36158.0; 32686.0; 28268.0; 26250.0; 22688.0
